Contestant,Gender
Peter Abatan,Male 
Chris Geiger,Male 
Flo Atkins,Female
Tom Hetherington,Male 
James Hillery,Male 
Julia Chernogorova,Female
"Chuen-Yan ""Yan"" Tsou",Female
Liam Charles,Male 
Stacey Hart,Female
Kate Lyon,Female
Steven Carter-Bailey,Male 
Sophie Faldo,Female
Imelda McCarron,Female
Luke Thompson,Male 
Antony Amourdoux,Male 
Karen Wright,Female
Terry Hartill,Male 
Dan Beasley-Harling,Male 
Jon Jenkins,Male 
Manon Lagrève,Female
Briony Williams,Female
Kim-Joy Hewlett,Female
Ruby Bhogal,Female
Rahul Mandal,Male 
Dan Chambers,Male 
Jamie Finn,Male 
Amelia Le Bruin,Female
Phil Thorne,Male 
Helena Garcia,Female
Michelle Evans-Fecci,Female
Priya O'Shea,Female
Michael Chakraverty,Male 
Henry Bird,Male 
Rosie Brandreth-Poynter,Female
Alice Fevronia,Female
Steph Blackwell,Female
David Atherton,Male 
Loriea Campbell-Clarey,Female
"Makbul ""Mak"" Patel",Male 
Rowan Williams,Male 
Sura Mitib,Female
Linda Rayfield,Female
Mark Lutton,Male 
Lottie Bedlow,Female
Marc Elliott,Male 
Hermine Dossou,Female
Dave Friday,Male 
Laura Adlington,Female
Peter Sawkins,Male 
Tom Fletcher,Male 
Jairzinho Parris,Male 
Rochica Copeland,Female
Maggie Richardson,Female
Freya Cox,Female
Amanda Georgiou,Female
George Aristidou,Male 
Lizzie Acker,Female
Jürgen Krauss,Male 
Chigs Parmar,Male 
Crystelle Pereira,Female
Giuseppe Dell'Anno,Male 
Will Hawkins,Male 
Maisam Algirgeet,Female
James Dewar,Male 
Rebecca 'Rebs' Lightbody,Female
Carole Edwards,Female
Dawn Hollyoak,Female
Kevin Flynn,Male 
Marie-Therese 'Maxy' Maligisa,Female
Janusz Domagala,Male 
Abdul Rehman Sharif,Male 
Nelsandro 'Sandro' Farmhouse,Male 
Syabira Yusoff,Female